id,Categoria,Nome do táxon,Ordem,Família,Subfamília,Gênero,Espécie,Nome em Português,English Name
124,Espécie,Mergus octosetaceus,Anseriformes,Anatidae,Anatinae,Mergus,octosetaceus,pato-mergulhão,Brazilian Merganser
126,Espécie,Heteronetta atricapilla,Anseriformes,Anatidae,Anatinae,Heteronetta,atricapilla,marreca-de-cabeça-preta,Black-headed Duck
128,Espécie,Nomonyx dominicus,Anseriformes,Anatidae,Anatinae,Nomonyx,dominicus,marreca-caucau,Masked Duck
130,Espécie,Oxyura vittata,Anseriformes,Anatidae,Anatinae,Oxyura,vittata,marreca-rabo-de-espinho,Lake Duck
134,Espécie,Penelope marail,Galliformes,Cracidae,,Penelope,marail,jacumirim,Marail Guan
137,Espécie,Penelope superciliaris,Galliformes,Cracidae,,Penelope,superciliaris,jacupemba,Rusty-margined Guan
144,Espécie,Penelope jacquacu,Galliformes,Cracidae,,Penelope,jacquacu,jacu-de-spix,Spix's Guan
148,Espécie,Penelope obscura,Galliformes,Cracidae,,Penelope,obscura,jacuguaçu,Dusky-legged Guan
149,Espécie,Penelope pileata,Galliformes,Cracidae,,Penelope,pileata,jacupiranga,White-crested Guan
150,Espécie,Penelope ochrogaster,Galliformes,Cracidae,,Penelope,ochrogaster,jacu-de-barriga-castanha,Chestnut-bellied Guan
151,Espécie,Penelope jacucaca,Galliformes,Cracidae,,Penelope,jacucaca,jacucaca,White-browed Guan
153,Espécie,Aburria cumanensis,Galliformes,Cracidae,,Aburria,cumanensis,jacutinga-de-garganta-azul,Blue-throated Piping-Guan
156,Espécie,Aburria cujubi,Galliformes,Cracidae,,Aburria,cujubi,cujubi,Red-throated Piping-Guan
159,Espécie,Aburria jacutinga,Galliformes,Cracidae,,Aburria,jacutinga,jacutinga,Black-fronted Piping-Guan
161,Espécie,Ortalis canicollis,Galliformes,Cracidae,,Ortalis,canicollis,aracuã-do-pantanal,Chaco Chachalaca
163,Espécie,Ortalis guttata,Galliformes,Cracidae,,Ortalis,guttata,aracuã-pintado,Speckled Chachalaca
165,Espécie,Ortalis remota,Galliformes,Cracidae,,Ortalis,remota,aracuã-guarda-faca,Pinto's Chachalaca
166,Espécie,Ortalis araucuan,Galliformes,Cracidae,,Ortalis,araucuan,aracuã-de-barriga-branca,East Brazilian Chachalaca
167,Espécie,Ortalis squamata,Galliformes,Cracidae,,Ortalis,squamata,aracuã-escamoso,Scaled Chachalaca
168,Espécie,Ortalis motmot,Galliformes,Cracidae,,Ortalis,motmot,aracuã-pequeno,Variable Chachalaca
169,Espécie,Ortalis ruficeps,Galliformes,Cracidae,,Ortalis,ruficeps,aracuãzinho,Chestnut-headed Chachalaca
170,Espécie,Ortalis superciliaris,Galliformes,Cracidae,,Ortalis,superciliaris,aracuã-de-sobrancelhas,Buff-browed Chachalaca
172,Espécie,Nothocrax urumutum,Galliformes,Cracidae,,Nothocrax,urumutum,urumutum,Nocturnal Curassow
174,Espécie,Crax alector,Galliformes,Cracidae,,Crax,alector,mutum-poranga,Black Curassow
177,Espécie,Crax globulosa,Galliformes,Cracidae,,Crax,globulosa,mutum-de-fava,Wattled Curassow
178,Espécie,Crax fasciolata,Galliformes,Cracidae,,Crax,fasciolata,mutum-de-penacho,Bare-faced Curassow
182,Espécie,Crax blumenbachii,Galliformes,Cracidae,,Crax,blumenbachii,mutum-de-bico-vermelho,Red-billed Curassow
184,Espécie,Pauxi tomentosa,Galliformes,Cracidae,,Pauxi,tomentosa,mutum-do-norte,Crestless Curassow
185,Espécie,Pauxi tuberosa,Galliformes,Cracidae,,Pauxi,tuberosa,mutum-cavalo,Razor-billed Curassow
186,Espécie,Pauxi mitu,Galliformes,Cracidae,,Pauxi,mitu,mutum-do-nordeste,Alagoas Curassow
189,Espécie,Colinus cristatus,Galliformes,Odontophoridae,,Colinus,cristatus,uru-do-campo,Crested Bobwhite
192,Espécie,Odontophorus gujanensis,Galliformes,Odontophoridae,,Odontophorus,gujanensis,uru-corcovado,Marbled Wood-Quail
196,Espécie,Odontophorus capueira,Galliformes,Odontophoridae,,Odontophorus,capueira,uru,Spot-winged Wood-Quail
199,Espécie,Odontophorus stellatus,Galliformes,Odontophoridae,,Odontophorus,stellatus,uru-de-topete,Starred Wood-Quail
203,Espécie,Phoenicopterus chilensis,Phoenicopteriformes,Phoenicopteridae,,Phoenicopterus,chilensis,flamingo-chileno,Chilean Flamingo
204,Espécie,Phoenicopterus ruber,Phoenicopteriformes,Phoenicopteridae,,Phoenicopterus,ruber,flamingo,American Flamingo
206,Espécie,Phoenicoparrus andinus,Phoenicopteriformes,Phoenicopteridae,,Phoenicoparrus,andinus,flamingo-dos-andes,Andean Flamingo
207,Espécie,Phoenicoparrus jamesi,Phoenicopteriformes,Phoenicopteridae,,Phoenicoparrus,jamesi,flamingo-da-puna,James's Flamingo
211,Espécie,Rollandia rolland,Podicipediformes,Podicipedidae,,Rollandia,rolland,mergulhão-de-orelha-branca,White-tufted Grebe
214,Espécie,Tachybaptus dominicus,Podicipediformes,Podicipedidae,,Tachybaptus,dominicus,mergulhão-pequeno,Least Grebe
217,Espécie,Podilymbus podiceps,Podicipediformes,Podicipedidae,,Podilymbus,podiceps,mergulhão-caçador,Pied-billed Grebe
220,Espécie,Podicephorus major,Podicipediformes,Podicipedidae,,Podicephorus,major,mergulhão-grande,Great Grebe
223,Espécie,Podiceps occipitalis,Podicipediformes,Podicipedidae,,Podiceps,occipitalis,mergulhão-de-orelha-amarela,Silvery Grebe
229,Espécie,Columba livia,Columbiformes,Columbidae,Columbinae,Columba,livia,pombo-doméstico,Rock Pigeon
232,Espécie,Patagioenas speciosa,Columbiformes,Columbidae,Columbinae,Patagioenas,speciosa,pomba-trocal,Scaled Pigeon
233,Espécie,Patagioenas picazuro,Columbiformes,Columbidae,Columbinae,Patagioenas,picazuro,pomba-asa-branca,Picazuro Pigeon
236,Espécie,Patagioenas maculosa,Columbiformes,Columbidae,Columbinae,Patagioenas,maculosa,pomba-do-orvalho,Spot-winged Pigeon
238,Espécie,Patagioenas fasciata,Columbiformes,Columbidae,Columbinae,Patagioenas,fasciata,pomba-de-coleira,Band-tailed Pigeon
240,Espécie,Patagioenas cayennensis,Columbiformes,Columbidae,Columbinae,Patagioenas,cayennensis,pomba-galega,Pale-vented Pigeon
244,Espécie,Patagioenas plumbea,Columbiformes,Columbidae,Columbinae,Patagioenas,plumbea,pomba-amargosa,Plumbeous Pigeon
249,Espécie,Patagioenas subvinacea,Columbiformes,Columbidae,Columbinae,Patagioenas,subvinacea,pomba-botafogo,Ruddy Pigeon
254,Espécie,Geotrygon saphirina,Columbiformes,Columbidae,Columbinae,Geotrygon,saphirina,juriti-safira,Sapphire Quail-Dove
256,Espécie,Geotrygon montana,Columbiformes,Columbidae,Columbinae,Geotrygon,montana,pariri,Ruddy Quail-Dove
258,Espécie,Geotrygon violacea,Columbiformes,Columbidae,Columbinae,Geotrygon,violacea,juriti-vermelha,Violaceous Quail-Dove
261,Espécie,Leptotila verreauxi,Columbiformes,Columbidae,Columbinae,Leptotila,verreauxi,juriti-pupu,White-tipped Dove
266,Espécie,Leptotila rufaxilla,Columbiformes,Columbidae,Columbinae,Leptotila,rufaxilla,juriti-de-testa-branca,Gray-fronted Dove
272,Espécie,Zenaida auriculata,Columbiformes,Columbidae,Columbinae,Zenaida,auriculata,avoante,Eared Dove
280,Espécie,Claravis pretiosa,Columbiformes,Columbidae,Claravinae,Claravis,pretiosa,pararu-azul,Blue Ground-Dove
