,taxonomia,ordem,familia,subfamilia,genero,especie,nome_pt,nome_eng,url_wikiaves
801,Amazona amazonica,Psittaciformes,Psittacidae,Arinae,Amazona,amazonica,curica,Orange-winged Parrot,https://www.wikiaves.com.br/wiki/curica
803,Forpus sclateri,Psittaciformes,Psittacidae,Arinae,Forpus,sclateri,periquito-santo-de-bico-escuro,Dusky-billed Parrotlet,https://www.wikiaves.com.br/wiki/periquito-santo-de-bico-escuro
804,Forpus xanthopterygius,Psittaciformes,Psittacidae,Arinae,Forpus,xanthopterygius,tuim,Blue-winged Parrotlet,https://www.wikiaves.com.br/wiki/tuim
805,Forpus passerinus,Psittaciformes,Psittacidae,Arinae,Forpus,passerinus,periquito-santo,Green-rumped Parrotlet,https://www.wikiaves.com.br/wiki/periquito-santo
806,Pionites melanocephalus,Psittaciformes,Psittacidae,Arinae,Pionites,melanocephalus,marianinha-de-cabeça-preta,Black-headed Parrot,https://www.wikiaves.com.br/wiki/marianinha-de-cabeca-preta
807,Pionites leucogaster,Psittaciformes,Psittacidae,Arinae,Pionites,leucogaster,marianinha-de-cabeça-amarela,White-bellied Parrot,https://www.wikiaves.com.br/wiki/marianinha-de-cabeca-amarela
808,Deroptyus accipitrinus,Psittaciformes,Psittacidae,Arinae,Deroptyus,accipitrinus,anacã,Red-fan Parrot,https://www.wikiaves.com.br/wiki/anaca
809,Pyrrhura cruentata,Psittaciformes,Psittacidae,Arinae,Pyrrhura,cruentata,tiriba-grande,Ochre-marked Parakeet,https://www.wikiaves.com.br/wiki/tiriba-grande
810,Pyrrhura devillei,Psittaciformes,Psittacidae,Arinae,Pyrrhura,devillei,tiriba-fogo,Blaze-winged Parakeet,https://www.wikiaves.com.br/wiki/tiriba-fogo
811,Pyrrhura frontalis,Psittaciformes,Psittacidae,Arinae,Pyrrhura,frontalis,tiriba-de-testa-vermelha,Maroon-bellied Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-testa-vermelha
812,Pyrrhura anerythra,Psittaciformes,Psittacidae,Arinae,Pyrrhura,anerythra,tiriba-do-xingu,Xingu Parakeet,https://www.wikiaves.com.br/wiki/tiriba-do-xingu
813,Pyrrhura coerulescens,Psittaciformes,Psittacidae,Arinae,Pyrrhura,coerulescens,tiriba-pérola,Pearly Parakeet,https://www.wikiaves.com.br/wiki/tiriba-perola
814,Pyrrhura perlata,Psittaciformes,Psittacidae,Arinae,Pyrrhura,perlata,tiriba-de-barriga-vermelha,Crimson-bellied Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-barriga-vermelha
815,Pyrrhura molinae,Psittaciformes,Psittacidae,Arinae,Pyrrhura,molinae,cara-suja-do-pantanal,Green-cheeked Parakeet,https://www.wikiaves.com.br/wiki/cara-suja-do-pantanal
816,Pyrrhura griseipectus,Psittaciformes,Psittacidae,Arinae,Pyrrhura,griseipectus,cara-suja,Gray-breasted Parakeet,https://www.wikiaves.com.br/wiki/cara-suja
817,Pyrrhura leucotis,Psittaciformes,Psittacidae,Arinae,Pyrrhura,leucotis,tiriba-de-orelha-branca,Maroon-faced Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-orelha-branca
818,Pyrrhura pfrimeri,Psittaciformes,Psittacidae,Arinae,Pyrrhura,pfrimeri,tiriba-do-paranã,Pfrimer's Parakeet,https://www.wikiaves.com.br/wiki/tiriba-do-parana
819,Pyrrhura picta,Psittaciformes,Psittacidae,Arinae,Pyrrhura,picta,tiriba-de-testa-azul,Painted Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-testa-azul
820,Pyrrhura amazonum,Psittaciformes,Psittacidae,Arinae,Pyrrhura,amazonum,tiriba-de-hellmayr,Santarem Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-hellmayr
821,Pyrrhura pallescens,Psittaciformes,Psittacidae,Arinae,Pyrrhura,pallescens,tiriba-do-madeira,Madeira Parakeet,https://www.wikiaves.com.br/wiki/tiriba-do-madeira
822,Pyrrhura lucianii,Psittaciformes,Psittacidae,Arinae,Pyrrhura,lucianii,tiriba-de-deville,Bonaparte's Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-deville
823,Pyrrhura roseifrons,Psittaciformes,Psittacidae,Arinae,Pyrrhura,roseifrons,tiriba-de-cabeça-vermelha,Rose-fronted Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-cabeca-vermelha
824,Pyrrhura egregia,Psittaciformes,Psittacidae,Arinae,Pyrrhura,egregia,tiriba-de-cauda-roxa,Fiery-shouldered Parakeet,https://www.wikiaves.com.br/wiki/tiriba-de-cauda-roxa
825,Pyrrhura melanura,Psittaciformes,Psittacidae,Arinae,Pyrrhura,melanura,tiriba-fura-mata,Maroon-tailed Parakeet,https://www.wikiaves.com.br/wiki/tiriba-fura-mata
826,Pyrrhura rupicola,Psittaciformes,Psittacidae,Arinae,Pyrrhura,rupicola,tiriba-rupestre,Black-capped Parakeet,https://www.wikiaves.com.br/wiki/tiriba-rupestre
827,Anodorhynchus hyacinthinus,Psittaciformes,Psittacidae,Arinae,Anodorhynchus,hyacinthinus,arara-azul,Hyacinth Macaw,https://www.wikiaves.com.br/wiki/arara-azul
829,Anodorhynchus leari,Psittaciformes,Psittacidae,Arinae,Anodorhynchus,leari,arara-azul-de-lear,Indigo Macaw,https://www.wikiaves.com.br/wiki/arara-azul-de-lear
830,Eupsittula aurea,Psittaciformes,Psittacidae,Arinae,Eupsittula,aurea,periquito-rei,Peach-fronted Parakeet,https://www.wikiaves.com.br/wiki/periquito-rei
831,Eupsittula pertinax,Psittaciformes,Psittacidae,Arinae,Eupsittula,pertinax,periquito-de-bochecha-parda,Brown-throated Parakeet,https://www.wikiaves.com.br/wiki/periquito-de-bochecha-parda
832,Eupsittula cactorum,Psittaciformes,Psittacidae,Arinae,Eupsittula,cactorum,periquito-da-caatinga,Cactus Parakeet,https://www.wikiaves.com.br/wiki/periquito-da-caatinga
833,Aratinga weddellii,Psittaciformes,Psittacidae,Arinae,Aratinga,weddellii,periquito-de-cabeça-suja,Dusky-headed Parakeet,https://www.wikiaves.com.br/wiki/periquito-de-cabeca-suja
834,Aratinga nenday,Psittaciformes,Psittacidae,Arinae,Aratinga,nenday,periquito-de-cabeça-preta,Nanday Parakeet,https://www.wikiaves.com.br/wiki/periquito-de-cabeca-preta
835,Aratinga solstitialis,Psittaciformes,Psittacidae,Arinae,Aratinga,solstitialis,jandaia-amarela,Sun Parakeet,https://www.wikiaves.com.br/wiki/jandaia-amarela
836,Aratinga maculata,Psittaciformes,Psittacidae,Arinae,Aratinga,maculata,cacaué,Sulphur-breasted Parakeet,https://www.wikiaves.com.br/wiki/cacaue
837,Aratinga jandaya,Psittaciformes,Psittacidae,Arinae,Aratinga,jandaya,jandaia-verdadeira,Jandaya Parakeet,https://www.wikiaves.com.br/wiki/jandaia-verdadeira
838,Aratinga auricapillus,Psittaciformes,Psittacidae,Arinae,Aratinga,auricapillus,jandaia-de-testa-vermelha,Golden-capped Parakeet,https://www.wikiaves.com.br/wiki/jandaia-de-testa-vermelha
839,Cyanopsitta spixii,Psittaciformes,Psittacidae,Arinae,Cyanopsitta,spixii,ararinha-azul,Spix's Macaw,https://www.wikiaves.com.br/wiki/ararinha-azul
840,Orthopsittaca manilatus,Psittaciformes,Psittacidae,Arinae,Orthopsittaca,manilatus,maracanã-do-buriti,Red-bellied Macaw,https://www.wikiaves.com.br/wiki/maracana-do-buriti
841,Primolius maracana,Psittaciformes,Psittacidae,Arinae,Primolius,maracana,maracanã,Blue-winged Macaw,https://www.wikiaves.com.br/wiki/maracana
842,Primolius couloni,Psittaciformes,Psittacidae,Arinae,Primolius,couloni,maracanã-de-cabeça-azul,Blue-headed Macaw,https://www.wikiaves.com.br/wiki/maracana-de-cabeca-azul
843,Primolius auricollis,Psittaciformes,Psittacidae,Arinae,Primolius,auricollis,maracanã-de-colar,Yellow-collared Macaw,https://www.wikiaves.com.br/wiki/maracana-de-colar
844,Ara ararauna,Psittaciformes,Psittacidae,Arinae,Ara,ararauna,arara-canindé,Blue-and-yellow Macaw,https://www.wikiaves.com.br/wiki/arara-caninde
845,Ara severus,Psittaciformes,Psittacidae,Arinae,Ara,severus,maracanã-guaçu,Chestnut-fronted Macaw,https://www.wikiaves.com.br/wiki/maracana-guacu
846,Ara macao,Psittaciformes,Psittacidae,Arinae,Ara,macao,araracanga,Scarlet Macaw,https://www.wikiaves.com.br/wiki/araracanga
847,Ara chloropterus,Psittaciformes,Psittacidae,Arinae,Ara,chloropterus,arara-vermelha,Red-and-green Macaw,https://www.wikiaves.com.br/wiki/arara-vermelha
848,Guaruba guarouba,Psittaciformes,Psittacidae,Arinae,Guaruba,guarouba,ararajuba,Golden Parakeet,https://www.wikiaves.com.br/wiki/ararajuba
849,Thectocercus acuticaudatus,Psittaciformes,Psittacidae,Arinae,Thectocercus,acuticaudatus,aratinga-de-testa-azul,Blue-crowned Parakeet,https://www.wikiaves.com.br/wiki/aratinga-de-testa-azul
850,Diopsittaca nobilis,Psittaciformes,Psittacidae,Arinae,Diopsittaca,nobilis,maracanã-pequena,Red-shouldered Macaw,https://www.wikiaves.com.br/wiki/maracana-pequena
851,Psittacara leucophthalmus,Psittaciformes,Psittacidae,Arinae,Psittacara,leucophthalmus,periquitão,White-eyed Parakeet,https://www.wikiaves.com.br/wiki/periquitao
852,Euchrepomis humeralis,Passeriformes,Thamnophilidae,Euchrepomidinae,Euchrepomis,humeralis,zidedê-de-encontro,Chestnut-shouldered Antwren,https://www.wikiaves.com.br/wiki/zidede-de-encontro
853,Euchrepomis spodioptila,Passeriformes,Thamnophilidae,Euchrepomidinae,Euchrepomis,spodioptila,zidedê-de-asa-cinza,Ash-winged Antwren,https://www.wikiaves.com.br/wiki/zidede-de-asa-cinza
854,Myrmornis torquata,Passeriformes,Thamnophilidae,Myrmornithinae,Myrmornis,torquata,pinto-do-mato-carijó,Wing-banded Antbird,https://www.wikiaves.com.br/wiki/pinto-do-mato-carijo
855,Pygiptila stellaris,Passeriformes,Thamnophilidae,Myrmornithinae,Pygiptila,stellaris,choca-cantadora,Spot-winged Antshrike,https://www.wikiaves.com.br/wiki/choca-cantadora
856,Microrhopias quixensis,Passeriformes,Thamnophilidae,Thamnophilinae,Microrhopias,quixensis,papa-formiga-de-bando,Dot-winged Antwren,https://www.wikiaves.com.br/wiki/papa-formiga-de-bando
857,Myrmorchilus strigilatus,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmorchilus,strigilatus,tem-farinha-aí,Stripe-backed Antbird,https://www.wikiaves.com.br/wiki/tem-farinha-ai
858,Neoctantes niger,Passeriformes,Thamnophilidae,Thamnophilinae,Neoctantes,niger,choca-preta,Black Bushbird,https://www.wikiaves.com.br/wiki/choca-preta
859,Clytoctantes atrogularis,Passeriformes,Thamnophilidae,Thamnophilinae,Clytoctantes,atrogularis,choca-de-garganta-preta,Rondonia Bushbird,https://www.wikiaves.com.br/wiki/choca-de-garganta-preta
860,Epinecrophylla gutturalis,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,gutturalis,choquinha-de-barriga-parda,Brown-bellied Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-de-barriga-parda
861,Epinecrophylla leucophthalma,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,leucophthalma,choquinha-de-olho-branco,White-eyed Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-de-olho-branco
862,Epinecrophylla haematonota,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,haematonota,choquinha-de-garganta-carijó,Rufous-backed Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-de-garganta-carijo
863,Epinecrophylla pyrrhonota,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,pyrrhonota,choquinha-do-rio-negro,Negro Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-do-rio-negro
864,Epinecrophylla amazonica,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,amazonica,choquinha-do-madeira,Rio Madeira Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-do-madeira
865,Epinecrophylla dentei,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,dentei,choquinha-do-rio-roosevelt,Roosevelt Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-do-rio-roosevelt
866,Epinecrophylla ornata,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,ornata,choquinha-ornada,Ornate Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-ornada
867,Epinecrophylla erythrura,Passeriformes,Thamnophilidae,Thamnophilinae,Epinecrophylla,erythrura,choquinha-de-cauda-ruiva,Rufous-tailed Stipplethroat,https://www.wikiaves.com.br/wiki/choquinha-de-cauda-ruiva
868,Aprositornis disjuncta,Passeriformes,Thamnophilidae,Thamnophilinae,Aprositornis,disjuncta,formigueiro-de-yapacana,Yapacana Antbird,https://www.wikiaves.com.br/wiki/formigueiro-de-yapacana
869,Ammonastes pelzelni,Passeriformes,Thamnophilidae,Thamnophilinae,Ammonastes,pelzelni,formigueiro-de-barriga-cinza,Gray-bellied Antbird,https://www.wikiaves.com.br/wiki/formigueiro-de-barriga-cinza
870,Myrmophylax atrothorax,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmophylax,atrothorax,formigueiro-de-peito-preto,Black-throated Antbird,https://www.wikiaves.com.br/wiki/formigueiro-de-peito-preto
871,Myrmochanes hemileucus,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmochanes,hemileucus,formigueiro-preto-e-branco,Black-and-white Antbird,https://www.wikiaves.com.br/wiki/formigueiro-preto-e-branco
872,Terenura sicki,Passeriformes,Thamnophilidae,Thamnophilinae,Terenura,sicki,zidedê-do-nordeste,Orange-bellied Antwren,https://www.wikiaves.com.br/wiki/zidede-do-nordeste
873,Terenura maculata,Passeriformes,Thamnophilidae,Thamnophilinae,Terenura,maculata,zidedê,Streak-capped Antwren,https://www.wikiaves.com.br/wiki/zidede
874,Myrmotherula brachyura,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,brachyura,choquinha-miúda,Pygmy Antwren,https://www.wikiaves.com.br/wiki/choquinha-miuda
875,Myrmotherula obscura,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,obscura,choquinha-de-bico-curto,Moustached Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-bico-curto
876,Myrmotherula ambigua,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,ambigua,choquinha-de-coroa-listrada,Yellow-throated Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-coroa-listrada
877,Myrmotherula sclateri,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,sclateri,choquinha-de-garganta-amarela,Sclater's Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-garganta-amarela
878,Myrmotherula surinamensis,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,surinamensis,choquinha-estriada,Guianan Streaked-Antwren,https://www.wikiaves.com.br/wiki/choquinha-estriada
879,Myrmotherula multostriata,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,multostriata,choquinha-estriada-da-amazônia,Amazonian Streaked-Antwren,https://www.wikiaves.com.br/wiki/choquinha-estriada-da-amazonia
880,Myrmotherula cherriei,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,cherriei,choquinha-de-peito-riscado,Cherrie's Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-peito-riscado
881,Myrmotherula klagesi,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,klagesi,choquinha-do-tapajós,Klages's Antwren,https://www.wikiaves.com.br/wiki/choquinha-do-tapajos
882,Myrmotherula axillaris,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,axillaris,choquinha-de-flanco-branco,White-flanked Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-flanco-branco
884,Myrmotherula minor,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,minor,choquinha-pequena,Salvadori's Antwren,https://www.wikiaves.com.br/wiki/choquinha-pequena
885,Myrmotherula longipennis,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,longipennis,choquinha-de-asa-comprida,Long-winged Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-asa-comprida
886,Myrmotherula urosticta,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,urosticta,choquinha-de-rabo-cintado,Band-tailed Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-rabo-cintado
887,Myrmotherula iheringi,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,iheringi,choquinha-de-ihering,Ihering's Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-ihering
