"font-blue-soft href","d-block","font-blue-soft","font-blue","font-blue href","font-blue 2","font-blue href 2"
"https://www.wikiaves.com.br/wiki/joao-de-barriga-branca","joão-de-barriga-branca","Mazaria propinqua","19","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11074","201","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11074"
"https://www.wikiaves.com.br/wiki/bichoita","bichoita","Schoeniophylax phryganophilus","164","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11062","3092","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11062"
"https://www.wikiaves.com.br/wiki/estrelinha-preta","estrelinha-preta","Synallaxis scutata","383","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11080","1067","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11080"
"https://www.wikiaves.com.br/wiki/pi-pui","pi-puí","Synallaxis cinerascens","792","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11066","1617","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11066"
"https://www.wikiaves.com.br/wiki/joao-tenenem-becua","joão-teneném-becuá","Synallaxis gujanensis","125","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11077","459","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11077"
"https://www.wikiaves.com.br/wiki/joao-do-araguaia","joão-do-araguaia","Synallaxis simoni","35","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11079","154","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11079"
"https://www.wikiaves.com.br/wiki/joao-do-pantanal","joão-do-pantanal","Synallaxis albilora","87","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11078","751","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11078"
"https://www.wikiaves.com.br/wiki/joao-xique-xique","joão-xique-xique","Synallaxis hellmayri","137","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11082","984","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11082"
"https://www.wikiaves.com.br/wiki/joao-do-norte","joão-do-norte","Synallaxis sp.","27","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11076","58","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11076"
"https://www.wikiaves.com.br/wiki/pichorore","pichororé","Synallaxis ruficapilla","1012","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11063","5534","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11063"
"https://www.wikiaves.com.br/wiki/joao-baiano","joão-baiano","Synallaxis cinerea","64","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11064","294","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11064"
"https://www.wikiaves.com.br/wiki/tatac","tatac","Synallaxis infuscata","63","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11065","214","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11065"
"https://www.wikiaves.com.br/wiki/joao-escuro","joão-escuro","Synallaxis macconnelli","16","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11075","61","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11075"
"https://www.wikiaves.com.br/wiki/joao-grilo","joão-grilo","Synallaxis hypospodia","156","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11071","749","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11071"
"https://www.wikiaves.com.br/wiki/joao-tenenem","joão-teneném","Synallaxis spixi","1224","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11070","6982","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11070"
"https://www.wikiaves.com.br/wiki/joao-de-peito-escuro","joão-de-peito-escuro","Synallaxis albigularis","21","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11069","285","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11069"
"https://www.wikiaves.com.br/wiki/ui-pi","uí-pi","Synallaxis albescens","693","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11068","3694","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11068"
"https://www.wikiaves.com.br/wiki/petrim","petrim","Synallaxis frontalis","1332","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11067","6599","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11067"
"https://www.wikiaves.com.br/wiki/joao-de-barba-grisalha","joão-de-barba-grisalha","Synallaxis kollari","36","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11081","212","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11081"
"https://www.wikiaves.com.br/wiki/joao-tenenem-castanho","joão-teneném-castanho","Synallaxis rutilans","100","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11072","269","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11072"
"https://www.wikiaves.com.br/wiki/puruchem","puruchém","Synallaxis cherriei","36","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11073","102","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11073"
"","","","","","",""
"https://www.wikiaves.com.br/wiki/fruxu-do-cerradao","fruxu-do-cerradão","Neopelma pallescens","320","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11392","2367","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11392"
"https://www.wikiaves.com.br/wiki/fruxu-do-carrasco","fruxu-do-carrasco","Neopelma chrysocephalum","62","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11393","154","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11393"
"https://www.wikiaves.com.br/wiki/fruxu-baiano","fruxu-baiano","Neopelma aurifrons","91","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11394","410","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11394"
"https://www.wikiaves.com.br/wiki/fruxu","fruxu","Neopelma chrysolophum","215","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11395","1509","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11395"
"https://www.wikiaves.com.br/wiki/fruxu-de-barriga-amarela","fruxu-de-barriga-amarela","Neopelma sulphureiventer","27","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11396","101","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11396"
"https://www.wikiaves.com.br/wiki/uirapuruzinho","uirapuruzinho","Tyranneutes stolzmanni","220","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11397","757","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11397"
"https://www.wikiaves.com.br/wiki/uirapuruzinho-do-norte","uirapuruzinho-do-norte","Tyranneutes virescens","43","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11398","150","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11398"
"https://www.wikiaves.com.br/wiki/tangarazinho","tangarazinho","Ilicura militaris","309","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11401","6397","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11401"
"https://www.wikiaves.com.br/wiki/dancarino-de-garganta-branca","dançarino-de-garganta-branca","Corapipo gutturalis","12","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11402","244","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11402"
"https://www.wikiaves.com.br/wiki/tangara-principe","tangará-príncipe","Chiroxiphia pareola","303","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11415","2285","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11415"
"https://www.wikiaves.com.br/wiki/tangara-de-coroa-amarela","tangará-de-coroa-amarela","Chiroxiphia regina","43","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=12048","179","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=12048"
"https://www.wikiaves.com.br/wiki/tangara","tangará","Chiroxiphia caudata","1725","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11416","14154","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11416"
"https://www.wikiaves.com.br/wiki/soldadinho-do-araripe","soldadinho-do-araripe","Antilophia bokermanni","72","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11413","1150","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11413"
"https://www.wikiaves.com.br/wiki/soldadinho","soldadinho","Antilophia galeata","526","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11414","7960","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11414"
"https://www.wikiaves.com.br/wiki/dancarino-olivaceo","dançarino-oliváceo","Xenopipo uniformis","2","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11417","26","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11417"
"https://www.wikiaves.com.br/wiki/pretinho","pretinho","Xenopipo atronitens","48","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11418","357","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11418"
"https://www.wikiaves.com.br/wiki/uirapuru-de-chapeu-azul","uirapuru-de-chapéu-azul","Lepidothrix coronata","44","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11406","544","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11406"
"https://www.wikiaves.com.br/wiki/uirapuru-de-chapeu-branco","uirapuru-de-chapéu-branco","Lepidothrix nattereri","58","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11407","466","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11407"
"https://www.wikiaves.com.br/wiki/dancador-de-coroa-dourada","dançador-de-coroa-dourada","Lepidothrix vilasboasi","5","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11408","41","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11408"
"https://www.wikiaves.com.br/wiki/cabeca-de-prata","cabeça-de-prata","Lepidothrix iris","40","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11409","243","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11409"
"https://www.wikiaves.com.br/wiki/uirapuru-estrela","uirapuru-estrela","Lepidothrix serena","49","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11410","208","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11410"
"https://www.wikiaves.com.br/wiki/dancador-do-tepui","dançador-do-tepui","Lepidothrix suavissima","4","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11411","46","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11411"
